Player,Age,Team,Posicion
Andrea Belotti,30,Benfica,FW
Gianluca Prestianni,18,Benfica,MF
Andreas Schjelderup,20,Benfica,FW
Leandro Santos,18,Benfica,MF
Arthur Cabral,26,Benfica,FW
Samuel Soares,22,Benfica,GK
João Mário,31,Benfica,MF
Manuel Manu,23,Benfica,MF
Renato Sanches,26,Benfica,MF
Benjamín Rollheiser,24,Benfica,MF
Morato,23,Benfica,DF
Tiago Gouveia,23,Benfica,MF
Marcos Leonardo,21,Benfica,FW
João Rêgo,19,Benfica,MF
Nuno Felix,20,Benfica,MF
Issa Kaboré,23,Benfica,DF
Adrian Bajrami,22,Benfica,DF
Diogo Prioste,20,Benfica,MF
Gustavo Marques,22,Benfica,DF
Martim Neto,21,Benfica,MF
Maghnes Akliouche,22,Monaco,MF
Thilo Kehrer,27,Monaco,DF
Takumi Minamino,29,Monaco,MF
Lamine Camara,20,Monaco,MF
Denis Zakaria,27,Monaco,MF
Wilfried Singo,23,Monaco,DF
Vanderson,23,Monaco,DF
Caio Henrique Oliveira Silva,27,Monaco,DF
Breel Embolo,27,Monaco,FW
Eliesse Ben Seghir,19,Monaco,MF
Philipp Köhn,26,Monaco,GK
Christian Mawissa,19,Monaco,DF
Mika Biereth,21,Monaco,FW
Radosław Majecki,24,Monaco,GK
Aleksandr Golovin,28,Monaco,MF
Soungoutou Magassa,20,Monaco,MF
Mohammed Salisu,25,Monaco,DF
Jordan Teze,24,Monaco,DF
Folarin Balogun,23,Monaco,FW
George Ilenikhena,17,Monaco,FW
Kassoum Ouattara,19,Monaco,MF
Krépin Diatta,25,Monaco,DF
Al-Musrati,28,Monaco,MF
Ismail Jakobs,24,Monaco,DF
Saïmon Bouabré,18,Monaco,MF
Eliot Matazo,22,Monaco,MF
Lucas Michal,19,Monaco,FW
Mamadou Coulibaly,20,Monaco,MF
Aladji Bamba,18,Monaco,MF
Edan Diop,19,Monaco,MF
Bradel Kiwa,18,Monaco,MF
Yann Liénard,21,Monaco,GK
Guillermo Maripán,30,Monaco,DF
Samuel Nibombé,16,Monaco,DF
Jules Stawiecki,17,Monaco,GK
Marco Bizot,33,Brest,GK
Mahdi Camara,26,Brest,MF
Kenny Lala,32,Brest,DF
Ludovic Ajorque,30,Brest,FW
Brendan Chardonnet,29,Brest,DF
Hugo Magnetti,26,Brest,MF
Massadio Haïdara,31,Brest,DF
Abdoulaye Ndiaye,22,Brest,DF
Mathias Pereira Lage,27,Brest,MF
Pierre Lees-Melou,31,Brest,MF
Julien Le Cardinal,26,Brest,DF
Romain Del Castillo,28,Brest,FW
Abdallah Sima,23,Brest,FW
Kamory Doumbia,21,Brest,MF
Mama Samba Baldé,28,Brest,FW
Edimilson Fernandes,28,Brest,MF
Romain Faivre,26,Brest,MF
Jordan Amavi,30,Brest,DF
Luck Zogbé,19,Brest,DF
Jonas Martin,34,Brest,MF
Soumaïla Coulibaly,20,Brest,DF
Ibrahim Salah,22,Brest,MF
Grégoire Coudert,25,Brest,GK
Justin Bourgault,18,Brest,DF
Jérémy Le Douaron,26,Brest,FW
Bradley Locko,22,Brest,DF
Hamidou Makalou,18,Brest,MF
Axel Camblan,20,Brest,FW
Hianga'a Mbock,24,Brest,MF
Sérigné Diop,19,Brest,FW
Léo Botz,19,Brest,FW
Achraf Dari,25,Brest,DF
Paris Irie,18,Brest,DF
Noah Jauny,19,Brest,GK
Ibrahim Kanté,17,Brest,MF
Raphael Le Guen,17,Brest,DF
Igor Paixão,24,Feyenoord,MF
Dávid Hancko,26,Feyenoord,DF
Timon Wellenreuther,28,Feyenoord,GK
Antoni Milambo,19,Feyenoord,MF
Givairo Read,18,Feyenoord,DF
Anis Hadj Moussa,22,Feyenoord,MF
Hwang In-beom,27,Feyenoord,MF
Thomas Beelen,23,Feyenoord,DF
Quinten Timber,23,Feyenoord,MF
Gernot Trauner,32,Feyenoord,DF
Gijs Smal,26,Feyenoord,DF
Hugo Bueno,21,Feyenoord,DF
Jakub Moder,25,Feyenoord,MF
Ayase Ueda,25,Feyenoord,FW
Ramiz Zerrouki,26,Feyenoord,MF
Santiago Giménez,23,Feyenoord,FW
Julián Carranza,24,Feyenoord,FW
Quilindschy Hartman,22,Feyenoord,DF
Ibrahim Osman,19,Feyenoord,MF
Calvin Stengs,25,Feyenoord,MF
Jordan Lotomba,25,Feyenoord,DF
Bart Nieuwkoop,28,Feyenoord,DF
Luka Ivanušec,25,Feyenoord,MF
Justin Bijlow,26,Feyenoord,GK
Lutsharel Geertruida,24,Feyenoord,DF
Oussama Targhalline,22,Feyenoord,MF
Gjivai Zechiël,20,Feyenoord,MF
